project_id,closure_lane,slot_id,required_file,proves,vault_href
applied-history,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/applied-history/index.html
native-aiprompt-eng,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/native-aiprompt-eng/index.html
native-analyst-assurance-desk,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/native-analyst-assurance-desk/index.html
native-berlin,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/native-berlin/index.html
native-russia,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/native-russia/index.html
native-russia-history-room,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/native-russia-history-room/index.html
row6,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/row6/index.html
cognitive-warfare,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/cognitive-warfare/index.html
historical-studies,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/historical-studies/index.html
ir-lexicon,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/ir-lexicon/index.html
native-africa,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/native-africa/index.html
native-east-asia,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/native-east-asia/index.html
native-mideast,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/native-mideast/index.html
native-mongol,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/native-mongol/index.html
native-western,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/native-western/index.html
russia-desk,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/russia-desk/index.html
analytical-methodology,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/analytical-methodology/index.html
regional-studies,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/regional-studies/index.html
decision-advantage-system,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/decision-advantage-system/index.html
mb-dialectic-engine-room-pass1-handoff,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/mb-dialectic-engine-room-pass1-handoff/index.html
native-russia-security-desk,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/native-russia-security-desk/index.html
mb-infragard-handoff,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/mb-infragard-handoff/index.html
mb-insinuationengineroom-handoff-done,runtime_deployment_validation,hosted_deployment_smoke,hosted_deployment_smoke.json,Uploaded route returns HTTP 200 and the route can fetch required artifacts.,../non_overlap_residual_evidence_vaults/vaults/mb-insinuationengineroom-handoff-done/index.html
