project_id,product_name,remaining_gap,next_required_evidence
applied-history,Applied History - lab for using historical case study to inform contemporary policy,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
native-aiprompt-eng,AI Prompt Engineering,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
native-analyst-assurance-desk,Analyst Assurance Desk,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
native-berlin,Berlin Occupation Zones and Refugee Crisis,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
native-russia,Russia,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
native-russia-history-room,Russia Historical Context Room,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments","This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy","This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
native-africa,Colonial Encounter in Africa,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
native-east-asia,East Asian War and Strategic Tradition,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
native-mideast,Ottoman Palestine and Early Zionism,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
native-mongol,Mongol Empire Military Systems,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
native-western,Western Political Thought and the Ideal State,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
russia-desk,Russia Source-To-Judgment Desk,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)","This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
native-russia-security-desk,Russia Security Desk,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
mb-infragard-handoff,InfraGard preparatory note (minimal),"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
mb-insinuationengineroom-handoff-done,Insinuation Engine,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation.",browser interaction QA; repeated trace capture; project-specific source verification where relevant; reviewer/outside-use validation
