project_id,title,mechanism,stage_count,acceptance,falsifier,slice_href
row7,Nexus Research Pipeline,Cross-disciplinary mechanism discovery joined to upstream/downstream academic-pipeline consistency checks.,7,"The slice passes only if it produces a transfer route, rejected false analogy, research-object draft, stale-stage flag, and downstream task update.",Fails if it merely returns relevant sources without demonstrating mechanism transfer or upstream/downstream consistency repair.,row7.html
native-murano,MuranoOS Research Operating Environment,"A local operating environment where rooms, instruments, agents, memory, review gates, and exports coordinate project work.",6,"The slice passes only if room state, instrument state, handoff state, review result, and export boundary are all visible.","Fails if it is only a dashboard and does not preserve decisions, state, or review gates.",native-murano.html
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,"A local scholarly retrieval system that separates retrieval, warrant scoring, negative-space reporting, and abstention.",6,"The slice passes only if it shows candidate evidence, support score, negative-space note, abstention status, and claim ceiling.","Fails if it behaves like a generic search box without warrant, negative-space, or abstention logic.",native-magnum-opus.html
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,A retrieval-security harness that measures how contamination timing and packaging deform answers and burden detectors.,7,"The slice passes only if it records retrieval trace, contamination window, detector burden, quarantine decision, and answer delta.",Fails if it only labels a source poisoned without showing how the answer changed or which defense gate fired.,native-poison-rag.html
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,"A technical annex harness for evidence corruption, replay, human/LLM validation, and claim governance.",6,"The slice passes only if attack pathway, replay trace, validation split, claim ceiling, and mitigation pattern are all present.",Fails if it provides a general warning about poisoned evidence without replay or governance output.,poison-rag-defense-annex.html
row10,Structured Human-AI Analyst Workstation,A human-in-the-loop workstation for checking AI output during structured analytic technique execution.,6,"The slice passes only if it shows baseline answer, structured answer, human correction, delta explanation, and confidence boundary.",Fails if it simply compares two answers without tracing the human correction mechanism.,row10.html
analytical-methods,Structured Analytic Technique Studio,"A studio for updating, combining, sequencing, and testing SATs for human, AI, and human-AI workflows.",6,"The slice passes only if it yields a technique sequence, role split, failure warning, reliability check, and revised method note.","Fails if it lists SATs without showing sequencing, task fit, or failure handling.",analytical-methods.html
algorithmic-active-measures,Algorithmic Active Measures,A research and instrument surface for treating data poisoning and algorithmic manipulation as active-measures tradecraft.,6,"The slice passes only if it records influence chain, poisoned channel, amplification path, analyst exposure point, and defensive response.",Fails if it describes manipulation generally without locating the algorithmic amplification pathway.,algorithmic-active-measures.html
trilogy,Book Trilogy Manuscript Governance System,"A manuscript governance system separating book voice, chapter structure, source use, passage targets, and public presentation.",6,"The slice passes only if it produces a chapter upgrade dossier, register decision, source/passages used, public title, and release status.",Fails if it improves prose while losing book-specific register or argument backbone.,trilogy.html
russia-desk,Russia Source-To-Judgment Desk,"A source-to-judgment desk connecting Russian security sources, assumptions, alternatives, indicators, and confidence language.",6,"The slice passes only if it shows source chain, assumptions, alternatives, indicators, confidence statement, and update trigger.","Fails if it jumps from source list to judgment without assumptions, alternatives, and indicators.",russia-desk.html
master-bundle-atlas,Master Bundle Packet Promotion Atlas,A packet-promotion system for turning a large archive into governed project inputs rather than an unstructured pile.,6,"The slice passes only if it creates packet identity, authority state, route, claim ceiling, promotion decision, and next action.",Fails if it inventories packets without making a promotion decision.,master-bundle-atlas.html
native-capstone-quantitative,Quantitative Capstone Future Branch,"A future experimental branch for condition effects, retrieval modes, structured analytic support, scoring, and reliability gates.",6,"The slice passes only if it creates condition matrix, scoring rule, reliability plan, disconfirmation condition, and future-work boundary.",Fails if it implies validated quantitative findings before the experiment is run.,native-capstone-quantitative.html
