project_id,product_name,source_applications,extracted_sources,roles_covered,concept_families,next_source_action
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,8,8,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
master-bundle-atlas,Master Bundle Packet Promotion Atlas,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | method/evaluation standard | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,7,7,adversarial model | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
russia-desk,Russia Source-To-Judgment Desk,7,7,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
trilogy,Book Trilogy Manuscript Governance System,7,7,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
analytical-methods,Structured Analytic Technique Studio,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-capstone-quantitative,Quantitative Capstone Workbench,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
row10,Structured Human-AI Analyst Workstation,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,5,5,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge,intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-murano,MuranoOS Research Operating Environment,5,5,counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
row7,Nexus Research Pipeline,5,5,counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
